row,n0: Biological Entity,n1: Disease,n2: Phenotypic Feature,n3: Gene,score
29,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),HTT (NCBIGene:3064),0.11159867563053613
30,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),DAO (NCBIGene:1610),0.11087539541719128
31,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),PFN1 (NCBIGene:5216),0.11073906679195925
32,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),HNRNPA1 (NCBIGene:3178),0.11065484462408413
33,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),TARDBP (NCBIGene:23435),0.11021214422644032
34,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Chronic fatigue (HP:0012432),FUS (NCBIGene:2521),0.11013038717465347
35,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),DCTN1 (NCBIGene:1639),0.1099879725200117
36,hemiplegia (MONDO:0001170),CADASIL (MONDO:0007432),Right hemiplegia (HP:0040293),NOTCH3 (NCBIGene:4854),0.1098243460234129
37,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),MATR3 (NCBIGene:9782),0.10973840566608699
38,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),CHMP2B (NCBIGene:25978),0.10948337226393944
39,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),MECP2 (NCBIGene:4204),0.1094413229691618
40,hemiplegia (MONDO:0001170),Rett syndrome (MONDO:0010726),Spasticity (HP:0001257),MECP2 (NCBIGene:4204),0.10931958237894902
41,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),TREM2 (NCBIGene:54209),0.10914189015928255
42,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),PON1 (NCBIGene:5444),0.10905038763329558
43,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dyspnea (HP:0002094),FUS (NCBIGene:2521),0.10898924565758804
44,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),PRPH (NCBIGene:5630),0.10872244197718106
45,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),UNC13A (NCBIGene:23025),0.1084817148193889
46,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),PPARGC1A (NCBIGene:10891),0.10838035016646126
47,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),EPHA4 (NCBIGene:2043),0.10838035016646126
48,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),FIG4 (NCBIGene:9896),0.10836941347335832
49,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),ERBB4 (NCBIGene:2066),0.10828726803592684
50,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),CACNA1A (NCBIGene:773),0.10814856684492745
51,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),NEFH (NCBIGene:4744),0.10811892439524672
52,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),ATXN1 (NCBIGene:6310),0.10792468276515997
53,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),SIGMAR1 (NCBIGene:10280),0.10786000915642537
54,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),TARDBP (NCBIGene:23435),0.10773427075715623
55,hemiplegia (MONDO:0001170),migraine disorder (MONDO:0005277),Hemiparesis (HP:0001269),CACNA1A (NCBIGene:773),0.10763995725973416
56,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),PON2 (NCBIGene:5445),0.10742630159588563
57,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),PON3 (NCBIGene:5446),0.10707736260381948
58,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),HLA-B (NCBIGene:3106),0.10695109341385868
59,hemiplegia (MONDO:0001170),familial amyloid neuropathy (MONDO:0007100),Hemiparesis (HP:0001269),TTR (NCBIGene:7276),0.10685244991793935
60,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Spasticity (HP:0001257),LMNB1 (NCBIGene:4001),0.10655064705836656
61,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),APP (NCBIGene:351),0.10647973606232639
62,hemiplegia (MONDO:0001170),Rett syndrome (MONDO:0010726),Motor aphasia (HP:0002427),MECP2 (NCBIGene:4204),0.10608919299174781
63,hemiplegia (MONDO:0001170),rheumatoid arthritis (MONDO:0008383),Anasarca (HP:0012050),CAT (NCBIGene:847),0.1059999693468613
64,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),SHH (NCBIGene:6469),0.1053646212445064
65,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),TTR (NCBIGene:7276),0.10486993616201072
66,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Hemiparesis (HP:0001269),TLR4 (NCBIGene:7099),0.10421934831973025
67,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),SLC1A3 (NCBIGene:6507),0.10393073570267303
68,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),COL4A1 (NCBIGene:1282),0.10348143758439209
69,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Xerostomia (HP:0000217),SOD1 (NCBIGene:6647),0.1034176070715482
70,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),BCHE (NCBIGene:590),0.10334590582606286
71,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),MEFV (NCBIGene:4210),0.10299503186142588
72,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),ANG (NCBIGene:283),0.1021365149017974
73,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),ADA2 (NCBIGene:51816),0.10188820360259594
74,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Anxiety (HP:0000739),FUS (NCBIGene:2521),0.10177057185357528
75,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),VCP (NCBIGene:7415),0.10171489027207146
76,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),EMX2 (NCBIGene:2018),0.10163248896470503
77,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),TREX1 (NCBIGene:11277),0.10154860064881398
78,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),ATP1A2 (NCBIGene:477),0.10154770935309929
79,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),OPTN (NCBIGene:10133),0.10117353773853062
80,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Degeneration of anterior horn cells (HP:0002398),SOD1 (NCBIGene:6647),0.10103949697724285
81,hemiplegia (MONDO:0001170),familial amyloid neuropathy (MONDO:0007100),Spasticity (HP:0001257),TTR (NCBIGene:7276),0.10080646733566924
82,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),SIX3 (NCBIGene:6496),0.1007796939271744
83,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Hemiparesis (HP:0001269),MT-ND1 (NCBIGene:4535),0.10070799390289398
84,hemiplegia (MONDO:0001170),rheumatoid arthritis (MONDO:0008383),Anasarca (HP:0012050),TNF (NCBIGene:7124),0.10068144416946233
85,hemiplegia (MONDO:0001170),migraine disorder (MONDO:0005277),Hemiparesis (HP:0001269),ATP1A2 (NCBIGene:477),0.10058542524135937
86,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),CHAT (NCBIGene:1103),0.10025866599250309
87,hemiplegia (MONDO:0001170),brain aneurysm (MONDO:0005291),Hemiparesis (HP:0001269),COL4A1 (NCBIGene:1282),0.09978785278151531
88,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Hemiparesis (HP:0001269),IL10 (NCBIGene:3586),0.0997771213474244
89,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Fatigable weakness of respiratory muscles (HP:0030196),SOD1 (NCBIGene:6647),0.09974998949060872
90,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Fatigable weakness of swallowing muscles (HP:0030195),SOD1 (NCBIGene:6647),0.09974998949060872
91,hemiplegia (MONDO:0001170),amyloidosis (disease) (MONDO:0019065),Hemiparesis (HP:0001269),PRNP (NCBIGene:5621),0.09973426205105392
92,hemiplegia (MONDO:0001170),brain aneurysm (MONDO:0005291),Hemiparesis (HP:0001269),HLA-B (NCBIGene:3106),0.09940448840277764
93,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),OPTN (NCBIGene:10133),0.09919042510180422
94,hemiplegia (MONDO:0001170),systemic lupus erythematosus (disease) (MONDO:0007915),Anasarca (HP:0012050),CAT (NCBIGene:847),0.09873204878885126
95,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),SQSTM1 (NCBIGene:8878),0.09865102394687818
96,hemiplegia (MONDO:0001170),CADASIL (MONDO:0007432),Spasticity (HP:0001257),NOTCH3 (NCBIGene:4854),0.09859715121422372
97,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),VAPB (NCBIGene:9217),0.09851244012595586
98,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Chronic fatigue (HP:0012432),TARDBP (NCBIGene:23435),0.0983663211299667
99,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),VCP (NCBIGene:7415),0.09828199934969471
100,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),VCP (NCBIGene:7415),0.09822042360493659
101,hemiplegia (MONDO:0001170),migraine disorder (MONDO:0005277),Motor aphasia (HP:0002427),CACNA1A (NCBIGene:773),0.09807078787308683
102,hemiplegia (MONDO:0001170),Behcet disease (MONDO:0007191),Hemiparesis (HP:0001269),HLA-B (NCBIGene:3106),0.09804540288258269
103,hemiplegia (MONDO:0001170),Rett syndrome (MONDO:0010726),Intellectual disability profound (HP:0002187),MECP2 (NCBIGene:4204),0.09778026576167224
104,hemiplegia (MONDO:0001170),CADASIL (MONDO:0007432),Motor aphasia (HP:0002427),NOTCH3 (NCBIGene:4854),0.09757880370598912
105,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dyspnea (HP:0002094),TARDBP (NCBIGene:23435),0.09733238487927358
106,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),TBK1 (NCBIGene:29110),0.09714708278747936
107,hemiplegia (MONDO:0001170),brain aneurysm (MONDO:0005291),Hemiparesis (HP:0001269),ADA2 (NCBIGene:51816),0.09710408896515606
108,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),ATXN2 (NCBIGene:6311),0.09705814797783321
109,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),UBQLN2 (NCBIGene:29978),0.09700554563259614
110,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),VAPB (NCBIGene:9217),0.09658636199701298
111,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),SQSTM1 (NCBIGene:8878),0.09655361478722445
112,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),SQSTM1 (NCBIGene:8878),0.09626774281758413
113,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),MAPT (NCBIGene:4137),0.09626409987187898
114,hemiplegia (MONDO:0001170),Behcet disease (MONDO:0007191),Hemiparesis (HP:0001269),FAS (NCBIGene:355),0.09621678423505849
115,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),GRIN2A (NCBIGene:2903),0.09602881987690624
116,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),PSEN1 (NCBIGene:5663),0.0957122459254396
117,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),NOTCH3 (NCBIGene:4854),0.0955549922943877
118,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),UBQLN2 (NCBIGene:29978),0.09533415766453428
119,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),ATXN2 (NCBIGene:6311),0.09533024100926418
120,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),NPC1 (NCBIGene:4864),0.09531935138037043
121,hemiplegia (MONDO:0001170),alternating hemiplegia of childhood 2 (MONDO:0013900),Right hemiplegia (HP:0040293),ATP1A3 (NCBIGene:478),0.09527357431686773
122,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),TBK1 (NCBIGene:29110),0.09518778020732323
123,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis type 18 (MONDO:0013891),Spasticity (HP:0001257),PFN1 (NCBIGene:5216),0.09494877594451437
124,hemiplegia (MONDO:0001170),amyloidosis (disease) (MONDO:0019065),Hemiparesis (HP:0001269),MEFV (NCBIGene:4210),0.09493189853772913
125,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),DAO (NCBIGene:1610),0.09487251363023645
126,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Spasticity (HP:0001257),CNR1 (NCBIGene:1268),0.09483708369264116
127,hemiplegia (MONDO:0001170),spinocerebellar ataxia type 36 (MONDO:0013594),Spasticity (HP:0001257),ATXN2 (NCBIGene:6311),0.09482841695664683
128,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Waddling gait (HP:0002515),FAS (NCBIGene:355),0.09472815385914402
129,hemiplegia (MONDO:0001170),Menkes disease (MONDO:0010651),Spasticity (HP:0001257),ATP7A (NCBIGene:538),0.09468760873279831
130,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Hemiparesis (HP:0001269),CCR1 (NCBIGene:1230),0.09467729500840602
131,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Coma (HP:0001259),APP (NCBIGene:351),0.09459918850489012
132,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Chronic fatigue (HP:0012432),ANG (NCBIGene:283),0.09458308097367088
133,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),ATRX (NCBIGene:546),0.09451205785461018
134,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),HNRNPA1 (NCBIGene:3178),0.09450028168229406
135,hemiplegia (MONDO:0001170),migraine disorder (MONDO:0005277),Hemiparesis (HP:0001269),ATP1A3 (NCBIGene:478),0.09447889990699775
136,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),PFN1 (NCBIGene:5216),0.09439976798462894
137,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Spasticity (HP:0001257),HNRNPA1 (NCBIGene:3178),0.09433506395150394
138,hemiplegia (MONDO:0001170),migraine disorder (MONDO:0005277),Hemiparesis (HP:0001269),SCN1A (NCBIGene:6323),0.09417956919717092
139,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),HTT (NCBIGene:3064),0.0941218960208195
140,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Spasticity (HP:0001257),NEFH (NCBIGene:4744),0.09383497003873804
141,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),DCTN1 (NCBIGene:1639),0.09379893446597981
142,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),NPC2 (NCBIGene:10577),0.09376406392328042
143,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),PPT1 (NCBIGene:5538),0.09374565360111577
144,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),MATR3 (NCBIGene:9782),0.09366603582644371
145,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),CHMP2B (NCBIGene:25978),0.0933990962946456
146,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),L1CAM (NCBIGene:3897),0.09339205389055606
147,hemiplegia (MONDO:0001170),Friedreich ataxia (MONDO:0009245),Waddling gait (HP:0002515),FXN (NCBIGene:2395),0.09330217441307338
148,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),TREM2 (NCBIGene:54209),0.09323801941475998
149,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),ABCD1 (NCBIGene:215),0.0932323756936181
150,hemiplegia (MONDO:0001170),Charlevoix-Saguenay spastic ataxia (MONDO:0010041),Spasticity (HP:0001257),SACS (NCBIGene:26278),0.09322225112163944
151,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),PON1 (NCBIGene:5444),0.093209651311962
152,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Acroparesthesia (HP:0031006),APP (NCBIGene:351),0.09313683575209868
153,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),PSAP (NCBIGene:5660),0.09305826873887539
154,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),TREM2 (NCBIGene:54209),0.09299308952035176
155,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dyspnea (HP:0002094),ANG (NCBIGene:283),0.09294374897974877
156,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),SETX (NCBIGene:23064),0.09294008308067037
157,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),ADA2 (NCBIGene:51816),0.0928661068201726
158,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),PRPH (NCBIGene:5630),0.09286061643970968
159,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),TBX1 (NCBIGene:6899),0.09280649418410626
160,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),PPARGC1A (NCBIGene:10891),0.0927642788188952
161,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),UNC13A (NCBIGene:23025),0.09273645418912779
162,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),ARSA (NCBIGene:410),0.09269813659352044
163,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),BSCL2 (NCBIGene:26580),0.09269658026179425
164,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),PFN1 (NCBIGene:5216),0.09266508760625831
165,hemiplegia (MONDO:0001170),X-linked adrenoleukodystrophy (MONDO:0018544),Motor aphasia (HP:0002427),ABCD1 (NCBIGene:215),0.09262708496560212
166,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),EPHA4 (NCBIGene:2043),0.09258905782597295
167,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),FIG4 (NCBIGene:9896),0.09255979300339028
168,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),ERBB4 (NCBIGene:2066),0.09255979300339026
169,hemiplegia (MONDO:0001170),multiple sclerosis (MONDO:0005301),Hemiparesis (HP:0001269),STAT4 (NCBIGene:6775),0.09250957194437304
170,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Coma (HP:0001259),CACNA1A (NCBIGene:773),0.0924611044063818
171,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),RAI1 (NCBIGene:10743),0.09245145611882837
172,hemiplegia (MONDO:0001170),epilepsy (MONDO:0005027),Motor aphasia (HP:0002427),OCRL (NCBIGene:4952),0.09245145611882837
173,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Neck muscle weakness (HP:0000467),NEFH (NCBIGene:4744),0.09237453674582397
174,hemiplegia (MONDO:0001170),Alexander disease (MONDO:0008752),Spasticity (HP:0001257),GFAP (NCBIGene:2670),0.09203550486388866
175,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Dysarthria (HP:0001260),DCTN1 (NCBIGene:1639),0.09201796343779779
176,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Xerostomia (HP:0000217),FUS (NCBIGene:2521),0.0919992725353139
177,hemiplegia (MONDO:0001170),migraine disorder (MONDO:0005277),Motor aphasia (HP:0002427),ATP1A2 (NCBIGene:477),0.09194720727741912
178,hemiplegia (MONDO:0001170),amyotrophic lateral sclerosis (MONDO:0004976),Waddling gait (HP:0002515),SNCA (NCBIGene:6622),0.09191026265998956
